economy,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
AUT,,,2327.40747070313,,,,2965.6845703125,,3158.79467773438,3449.33447265625,3524.13891601563,3810.03149414063,4136.92578125,4140.1044921875,4349.71728515625,4390.3466796875,4669.447265625,4724.72021484375,4947.875,5019.4384765625,5372.23974609375,5387.92919921875,5639.0634765625,5895.44384765625
BEL,2461.70361328125,2568.80419921875,2695.24267578125,2899.18090820313,2970.1943359375,3123.9892578125,2958.84497070313,2967.3701171875,3091.60522460938,3142.72998046875,3284.4306640625,3395.017578125,3411.75268554688,3519.85498046875,3732.83129882813,3875.64404296875,4113.263671875,4155.9111328125,4528.9150390625,4711.04541015625,4780.51708984375,4729.5537109375,5003.94580078125,5253.21044921875
BGR,1778.94995117188,1458.87377929688,1471.18273925781,1311.51635742188,1185.17761230469,1162.19201660156,1172.47900390625,1228.6796875,1268.87890625,1307.798828125,1354.47302246094,1478.61755371094,1513.00744628906,1601.38879394531,1478.65161132813,1613.0322265625,1540.76843261719,1683.79309082031,1821.92175292969,1977.29333496094,2237.291015625,2125.18383789063,2342.86987304688,2419.95874023438
CHE,3140.79223632813,,,,3654.23754882813,,,,3468.1748046875,,,,3298.21459960938,,,,4468.6494140625,,,5271.927734375,,5235.81201171875,,5551.9697265625
CZE,1252.42639160156,1216.82995605469,1217.25268554688,1313.26025390625,1346.24340820313,1459.15576171875,1460.55590820313,1543.97790527344,1591.8515625,2356.08056640625,2550.56713867188,2691.54931640625,2857.02221679688,2742.0751953125,2773.9599609375,2903.66162109375,3139.2353515625,3237.23583984375,3402.826171875,3592.07373046875,3516.17163085938,3682.03344726563,3862.68334960938,3976.00415039063
DEU,2830.52905273438,2896.74658203125,2920.19897460938,3129.26928710938,3167.95092773438,3245.82421875,3260.09204101563,3295.27709960938,3309.57348632813,3335.03491210938,3434.5693359375,3578.50341796875,3733.27807617188,3922.21459960938,4058.00024414063,4188.8115234375,4352.32275390625,4366.6865234375,4320.7041015625,4743.7861328125,4861.7431640625,5076.51904296875,5217.30029296875,5396.470703125
DNK,3177.82006835938,3317.91577148438,,3559.90307617188,,3630.60375976563,4754.85693359375,4618.9228515625,4843.25390625,5197.447265625,5298.4501953125,5516.35595703125,6493.8955078125,6656.97021484375,6739.18115234375,7017.93896484375,7143.28857421875,7071.1376953125,7310.658203125,7528.26416015625,7846.65771484375,7669.90576171875,7636.13330078125,7739.4248046875
ESP,1293.76965332031,1345.88745117188,1499.17065429688,1521.90844726563,1878.01989746094,1938.0859375,1987.56262207031,2172.0751953125,2331.98486328125,2492.55981445313,2588.91381835938,2699.24267578125,2843.27514648438,2872.33056640625,2869.16870117188,2765.99780273438,2693.77954101563,2625.68139648438,2613.09985351563,2623.35424804688,2715.46533203125,2855.74560546875,3000.88940429688,3080.52709960938
EST,,,2117.53979492188,2138.498046875,1905.49438476563,1926.37939453125,2212.28686523438,2197.52368164063,2470.72924804688,2457.12744140625,2603.45068359375,2744.93115234375,2969.2412109375,3228.71557617188,3060.57885742188,3397.58178710938,3462.9248046875,3341.01049804688,3284.26318359375,3183.24365234375,3295.07568359375,3542.54614257813,3755.3291015625,3767.96850585938
FIN,,,,,,,,,7821.861328125,7526.63037109375,7657.220703125,7361.54052734375,7684.80810546875,7646.3369140625,7720.2236328125,7421.58203125,7473.7060546875,7206.5322265625,7009.28759765625,6844.54736328125,6531.4794921875,6721.830078125,6861.14599609375,7227.5439453125
